"player","xg_Aerial","xg_Cross","xg_None","xg_Pass","xg_Dribble","xg_LooseBall","xg_Chipped","xg_Throughball","xg_LayOff","n_shots_Aerial","n_shots_Cross","n_shots_None","n_shots_Pass","n_shots_Dribble","n_shots_LooseBall","n_shots_Chipped","n_shots_Throughball","n_shots_LayOff","xg_foot","xg_headother","n_shots_foot","n_shots_headother","xa_Aerial","xa_Chipped","xa_Cross","xa_LooseBall","xa_Pass","xa_Dribble","xa_Throughball","xa_LayOff","xa_None","n_assists_Aerial","n_assists_Chipped","n_assists_Cross","n_assists_LooseBall","n_assists_Pass","n_assists_Dribble","n_assists_Throughball","n_assists_LayOff","n_assists_None","xa_foot","xa_headother","n_assists_foot","n_assists_headother","totxg","totxa"
"Aaron Cresswell",0.015,0.032,0.126,0.136,0,0,0,0,0,1,1,3,6,0,0,0,0,0,0.293,0.015,10,1,0.344,0.074,0.421,0.115,0.452,0,0,0,0,2,1,5,1,4,0,0,0,0,0.771,0.635,8,5,0.617,2.812
"Aaron Hunt",0.09,0.077,0.11,0.794,0.016,0.074,0,0,0,2,1,3,9,1,2,0,0,0,1.16,0,18,0,0.106,0.174,0.453,0,1.521,0.037,0,0,0,1,4,4,0,15,1,0,0,0,1.949,0.342,22,3,2.321,4.582
"Aaron Lennon",0.097,0.093,0.047,0.164,0.096,0,0,0,0,2,2,1,2,2,0,0,0,0,0.428,0.069,8,1,0,0,0.243,0,0.995,0,0,0,0,0,0,3,0,8,0,0,0,0,1.238,0,11,0,0.994,2.476
"Aarón Martín",0,0,0,0.059,0,0,0.04,0,0,0,0,0,3,0,0,1,0,0,0.099,0,4,0,0.396,0,0.337,0,0.982,0.132,0.089,0,0,6,0,7,0,8,2,1,0,0,1.391,0.545,15,9,0.198,3.872
"Aaron Mooy",0,0.624,0.218,0.5,0,0.531,0.017,0,0,0,1,6,13,0,1,1,0,0,1.89,0,22,0,0,0.317,1.29,0,0.866,0.199,0,0,0,0,3,5,0,19,2,0,0,0,1.487,1.185,25,4,3.779,5.344
"Aaron Ramsey",0,0.966,0.048,3.642,0.248,0.085,0.668,0.137,0,0,5,2,25,3,3,7,1,0,5.228,0.566,42,4,0.045,0.108,0,0,4.137,1.036,0.394,0,0,1,2,0,0,16,4,1,0,0,5.674,0.045,23,1,11.587,11.439
"Aaron Wan-Bissaka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0.136,0,0.023,0,0,0,0,1,0,1,0,1,0,0,0,0,0.023,0.196,1,2,0,0.439
"Abdallah Ndour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.017,0,0,0,0.007,0,0,0,2,1,0,0,0,1,0,0,0,0.025,0.044,2,2,0,0.138
"Abdelhamid Sabiri",0,0,0.025,0,0.045,0,0,0,0,0,0,1,0,1,0,0,0,0,0.07,0,2,0,0,0,0,0,0.052,0.096,0,0,0,0,0,0,0,1,1,0,0,0,0.148,0,2,0,0.14,0.296
"Abdou Diallo",0,0,0,0,0.026,0,0,0,0,0,0,0,0,1,0,0,0,0,0.026,0,1,0,0,0,0.065,0,0.157,0,0,0,0,0,0,1,0,3,0,0,0,0,0.157,0.065,3,1,0.052,0.446
"Abdoul Camara",0.028,0.492,0.009,0.279,0.017,0.02,0.016,0.537,0,1,2,1,8,1,1,1,1,0,1.399,0,16,0,0,0,0.379,0,0.252,0,0,0,0,0,0,2,0,5,0,0,0,0,0.614,0.016,6,1,2.797,1.261
"Abdoulaye Bamba",0,0,0.017,0.037,0.013,0,0,0,0,0,0,1,2,1,0,0,0,0,0.067,0,4,0,0,0,0.082,0,0.282,0,0,0,0,0,0,1,0,5,0,0,0,0,0.282,0.082,5,1,0.133,0.729
"Abdoulaye Doucouré",0.248,0.455,0.955,0.883,0.163,0.044,0,0,0,2,2,9,17,3,3,0,0,0,2.575,0.173,35,1,0.077,0.073,0.149,0.008,1.566,0.131,0.146,0.111,0,1,3,1,1,25,3,1,2,0,2.052,0.21,34,3,5.495,4.524
"Abdoulaye Touré",0,0,0.101,0.456,0.051,0.017,0.068,0,0,0,0,5,21,2,1,1,0,0,0.694,0,30,0,0.031,0.3,0.049,0,0.173,0.092,0,0.063,0,1,2,1,0,9,1,0,1,0,0.677,0.031,14,1,1.387,1.415
"Ablie Jallow",0,0,0,0.091,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.091,0,1,0,0,0,0.39,0,0.607,0,0,0,0,0,0,1,0,1,0,0,0,0,0.997,0,2,0,0.182,1.994
"Achraf Hakimi",0,0,0,0.304,0,0.06,0.049,0,0,0,0,0,2,0,1,1,0,0,0.413,0,4,0,0.077,0,0,0,0.147,0,0,0,0,1,0,0,0,2,0,0,0,0,0.147,0.077,2,1,0.825,0.447
"Achraf Lazaar",0.033,0.055,0.06,0.069,0,0.02,0,0,0,1,1,1,3,0,1,0,0,0,0.182,0.055,6,1,0,0,0.087,0,0.028,0,0,0,0,0,0,1,0,1,0,0,0,0,0.115,0,2,0,0.475,0.23
"Adalberto Peñaranda",0.04,0.092,0.068,0.317,0.077,0.057,0,0,0,2,1,1,11,4,2,0,0,0,0.519,0.133,18,3,0,0,0,0.127,0.232,0.121,0,0,0,0,0,0,2,7,2,0,0,0,0.48,0,11,0,1.304,0.961
"Adam Lallana",0,0,0.085,0.207,0.037,0.692,0,0.486,0,0,0,1,4,1,2,0,1,0,1.494,0.012,8,1,0,0,0,0,0.329,0,0,0.056,0,0,0,0,0,6,0,0,1,0,0.385,0,7,0,3.011,0.77
"Adam Marusic",0.013,0.328,0.505,2.171,0.168,0.053,0.034,0,0,1,4,4,14,3,2,2,0,0,2.96,0.312,25,5,0.863,0,0.973,0,0.713,0.473,0,0,0,8,0,6,0,18,2,0,0,0,1.657,1.365,23,11,6.544,6.044
"Adam Masina",0,0.063,0.078,0.099,0.844,0,0.038,0,0,0,1,1,5,1,0,1,0,0,1.021,0.101,7,2,0.079,0.422,0.452,0,0.727,0.092,0,0,0,4,2,7,0,10,2,0,0,0,1.088,0.684,19,6,2.244,3.544
"Ádám Nagy",0,0,0,0.366,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.366,0,1,0,0,0,0,0,0.633,0,0,0,0,0,0,0,0,5,0,0,0,0,0.633,0,5,0,0.733,1.266
"Adam Ounas",0,0,0,0.169,0.095,0,0,0,0,0,0,0,4,1,0,0,0,0,0.264,0,5,0,0,0.028,0.161,0,0.054,0.055,0,0,0,0,1,2,0,1,1,0,0,0,0.264,0.034,4,1,0.527,0.596
"Adam Smith",0,0.033,0.097,0.081,0.041,0.082,0.009,0,0.055,0,1,3,3,1,2,1,0,1,0.397,0,12,0,0,0,0.253,0.152,0.548,0.305,0,0.081,0,0,0,4,1,12,1,0,1,0,1.192,0.145,17,2,0.795,2.675
"Ádám Szalai",0.136,0.239,0,1.66,0.04,0.072,0.127,0.571,0,3,3,0,10,1,1,1,2,0,2.086,0.758,15,6,0.162,0,0,0.045,0.269,0.136,0.137,0,0,2,0,0,2,5,2,1,0,0,0.749,0,12,0,5.688,1.497
"Adama Diakhaby",0.069,0.047,0.457,0.895,0,0.066,0.066,0.311,0,2,2,1,2,0,1,2,1,0,1.834,0.078,8,3,0,0,0.064,0,0.456,0,0,0,0,0,0,1,0,6,0,0,0,0,0.52,0,7,0,3.822,1.041
"Adama Mbengue",0,0.066,0.056,0.035,0.037,0.028,0.045,0,0,0,1,2,2,1,2,2,0,0,0.267,0,10,0,0,0,1.492,0,0.196,0.454,0,0,0,0,0,5,0,5,1,0,0,0,1.076,1.067,7,4,0.533,4.286
"Adama Niane",0.978,2.58,0.995,2.007,0.152,0.706,0.431,0.941,0,8,10,8,18,3,4,9,4,0,7.604,1.186,58,6,0,0.023,0.083,0,0.57,0.342,0,0.1,0,0,1,1,0,12,1,0,2,0,1.035,0.083,16,1,17.579,2.237
"Adama Traoré",0,0,0,0.812,0.06,0,0,0,0,0,0,0,3,2,0,0,0,0,0.872,0,5,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,1,0,0,0,0,0.016,0,1,0,1.744,0.033
"Aday Benítez",0.059,0.16,0.084,0.131,0,0.124,0.065,0,0,2,4,2,6,0,3,2,0,0,0.418,0.205,14,5,0.052,0,0.816,0,0.216,0,0,0,0,1,0,9,0,8,0,0,0,0,0.33,0.754,10,8,1.246,2.169
"Adel Taarabt",0.055,0.189,0.085,0.691,0.381,0,0.01,0,0.111,2,2,1,17,7,0,1,0,2,1.132,0.389,28,4,0.032,0.033,0.725,0,1.344,0.136,0.623,0.047,0,1,1,3,0,20,1,3,2,0,2.873,0.067,29,2,3.041,5.881
"Adem Ljajic",0.012,0.057,0.323,2.8,0.245,0.07,0,0,0.015,1,1,5,28,6,1,0,0,1,3.523,0,43,0,0,0.588,0.038,0.02,1.394,0.596,1.125,0.122,0,0,3,1,1,28,5,3,1,0,3.712,0.171,41,1,7.047,7.766
"Ademola Lookman",0,0,0,2.707,0,0.054,0,0,0.073,0,0,0,10,0,1,0,0,1,2.835,0,12,0,0,0.086,0,0,1.484,0,0.326,0,0,0,1,0,0,13,0,1,0,0,1.897,0,15,0,5.669,3.793
"Adil Rami",0.596,0,0.009,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.019,0.586,2,1,0,0,0,0,0.279,0.086,0,0,0,0,0,0,0,1,3,0,0,0,0.366,0,4,0,1.211,0.731
"Admir Mehmedi",0.073,0.034,0.044,0.532,0,0,0,0.098,0,2,1,1,7,0,0,0,1,0,0.781,0,12,0,0,0,0.189,0,0.892,0,0.472,0.03,0,0,0,3,0,13,0,1,1,0,1.487,0.095,16,2,1.562,3.165
"Adnan Januzaj",0,0.123,1.578,2.46,1.087,1.053,0.548,0,0,0,4,5,21,12,3,5,0,0,6.797,0.053,49,1,0,0.654,0.471,0.087,2.501,0.282,0.617,0,0,0,2,3,1,17,1,2,0,0,3.792,0.82,22,4,13.699,9.222
"Adrián",0.809,0.957,0.482,2.424,0.688,0.799,0.537,0.104,0,8,12,7,22,7,10,5,1,0,5.657,1.144,57,15,1.153,0.034,0.31,0.058,4.029,0.531,0,0,0,5,1,4,2,29,4,0,0,0,4.409,1.706,39,6,13.601,12.23
"Adrián Diéguez",0.01,0,0,0.058,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.068,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0
"Adrian Mariappa",0,0.092,0.031,0,0,0.01,0,0,0,0,1,1,0,0,1,0,0,0,0.041,0.092,2,1,0,0.017,0,0,0.025,0,0,0,0,0,1,0,0,1,0,0,0,0,0.025,0.017,1,1,0.267,0.085
"Adrián Marín",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,1,0,0,0,0,0.042,0,1,0,0,0.084
"Adrian Sahibeddine",0,0,0,0.036,0.09,0,0,0,0,0,0,0,1,1,0,0,0,0,0.126,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0
"Adrian Stoian",0.015,0.374,0.058,0.313,0.049,0.128,0,0,0,1,2,1,9,1,3,0,0,0,0.938,0,17,0,0,0.488,0.631,0,0.326,0.135,0.307,0,0,0,4,2,0,9,1,1,0,0,1.541,0.345,16,1,1.875,3.773
"Adrien Hunou",0.121,0.385,0.684,0.572,0.084,0.15,0.813,0.193,0,3,4,3,3,1,1,4,2,0,1.995,1.007,16,5,0,0.07,0,0.023,0.284,0,0,0.065,0,0,1,0,1,8,0,0,2,0,0.442,0,12,0,6.003,0.883
"Adrien Rabiot",0,0.08,0.066,0.311,0.048,0.022,0.089,0,0,0,1,3,9,1,1,2,0,0,0.519,0.098,15,2,0.043,0.057,0.324,0.044,2.514,0.157,0.13,0.017,0,2,1,1,1,12,2,1,1,0,2.919,0.367,18,3,1.234,6.573
"Adrien Silva",0.019,0,0.016,0.095,0.028,0,0,0,0,1,0,1,5,1,0,0,0,0,0.158,0,8,0,0,0,0,0,0.106,0.537,0.247,0,0,0,0,0,0,1,3,2,0,0,0.89,0,6,0,0.315,1.781
"Adrien Tameze",0,0,0,0.07,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.07,0,3,0,0,0.059,0,0,0.054,0.263,0,0,0,0,1,0,0,3,2,0,0,0,0.376,0,6,0,0.139,0.752
"Adrien Thomasson",0,0.604,0.553,1.462,0.256,0.104,0.033,0,0.043,0,9,4,21,6,3,1,0,2,2.765,0.291,41,5,0.108,0.405,0.518,0,1.595,0.022,0.314,0.011,0.071,1,3,4,0,19,1,1,1,1,2.848,0.194,28,3,6.112,6.084
"Aduriz",0.672,2.373,0,1.777,0.272,0.099,1.252,0,0,8,15,0,11,3,2,9,0,0,4.388,2.059,29,19,0.028,0.011,0,0.408,0.748,0,0.375,0,0,2,1,0,1,6,0,1,0,0,1.571,0,11,0,12.893,3.142
"Afriyie Acquah",0,0,0.017,0.248,0.05,0,0,0,0,0,0,1,5,1,0,0,0,0,0.315,0,7,0,0,0,0,0.062,0.07,0.444,0,0,0,0,0,0,1,2,2,0,0,0,0.577,0,5,0,0.63,1.153
"Ahmed Benali",0,0,0.1,0.166,0,0,0.172,0,0,0,0,1,2,0,0,1,0,0,0.266,0.172,3,1,0,0,0,0,0.182,0,0.122,0.017,0,0,0,0,0,4,0,1,1,0,0.322,0,6,0,0.876,0.643
"Ahmed Hegazy",0.066,0,0,0,0,0.014,0,0,0,1,0,0,0,0,1,0,0,0,0.08,0,2,0,0,0,0.118,0.065,0.042,0,0,0,0,0,0,1,1,1,0,0,0,0,0.107,0.118,2,1,0.159,0.45
"Ailton",0.011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.011,0,1,0.073,0,0,0,0.035,0,0,0,0,1,0,0,0,1,0,0,0,0,0.035,0.073,1,1,0.022,0.217
"Ainsley Maitland-Niles",0,0,0,0.096,0.015,0,0.066,0,0,0,0,0,2,1,0,1,0,0,0.178,0,4,0,0.05,0,0.227,0,0.701,0,0,0,0,1,0,2,0,5,0,0,0,0,0.782,0.196,6,2,0.355,1.956
"Aissa Mandi",0.384,0.141,0,0.023,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0.023,0.525,2,2,0.054,0,0,0,0.05,0,0.092,0,0,1,0,0,0,2,0,1,0,0,0.196,0,4,0,1.095,0.392
"Aketxe",0,0,0.048,0.018,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.066,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0
"Alassane Pléa",0,0.815,0.308,3.651,2.686,1.873,0.184,1.815,0.086,0,7,5,44,19,8,5,6,1,10.587,0.83,87,8,0.315,0,0,0.114,1.113,0.099,1.169,0.084,0,1,0,0,1,17,3,3,3,0,2.894,0,28,0,22.834,5.788
"Alberto Aquilani",0.028,0.069,0.033,0.043,0,0.018,0,0,0,1,1,3,3,0,1,0,0,0,0.164,0.028,8,1,0,0.067,0,0,0.111,0.19,0,0,0,0,1,0,0,6,3,0,0,0,0.368,0,10,0,0.383,0.736
"Alberto Bueno",0.109,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.109,0,2,0,0,0.044,0.401,0,0.054,0,0,0,0,0,1,1,0,2,0,0,0,0,0.499,0,4,0,0.217,0.999
"Alberto De la Bella",0,0.027,0.015,0.053,0,0,0.024,0,0,0,1,1,2,0,0,1,0,0,0.095,0.024,4,1,0,0,0.525,0,0.306,0,0,0,0,0,0,9,0,5,0,0,0,0,0.491,0.339,8,6,0.237,1.661
"Alberto Grassi",0.114,1.336,0.226,0.437,0,0.08,0.16,0,0,2,7,5,12,0,2,2,0,0,1.216,1.136,25,5,0.104,0,0,0.407,0.137,0.017,0,0,0.041,2,0,0,2,2,1,0,0,1,0.706,0,8,0,4.704,1.411
"Alberto Moreno",0,0,0,0.334,0.031,0.018,0.009,0,0,0,0,0,6,1,1,1,0,0,0.393,0,9,0,0,0.172,0.261,0,0.392,0.013,0,0,0,0,3,3,0,6,1,0,0,0,0.641,0.198,11,2,0.786,1.678
"Alberto Paloschi",0.546,0.581,2.866,0.06,0.032,0.351,0.563,0,0.018,4,2,6,1,1,1,5,0,1,3.679,1.336,16,5,0.047,0.016,0,0,0.443,0,0,0.063,0,1,1,0,0,7,0,0,2,0,0.569,0,11,0,10.032,1.139
"Albin Ekdal",0.042,0,0.077,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.077,0.042,1,1,0.009,0,0,0.024,0.922,0,0,0,0,1,0,0,1,5,0,0,0,0,0.956,0,7,0,0.237,1.912
"Aleandro Rosi",0.033,0.126,0,0.029,0,0,0,0.344,0,2,3,0,2,0,0,0,1,0,0.434,0.098,4,4,0.158,0,0.142,0,0.087,0,0,0,0,2,0,2,0,2,0,0,0,0,0.352,0.035,5,1,1.064,0.774
"Aleix García",0,0,0.031,0.05,0,0.041,0,0,0,0,0,3,3,0,1,0,0,0,0.121,0,7,0,0,0,0,0.02,0.341,0,0,0,0,0,0,0,1,1,0,0,0,0,0.361,0,2,0,0.242,0.722
"Aleix Vidal",0,0,0.073,0.235,0,0.5,0.422,0.103,0,0,0,1,1,0,2,2,1,0,1.333,0,7,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0,3,0,0,0,0,0.971,0,3,0,2.665,1.941
"Alejandro Gálvez",0,0.073,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.073,0,1,0,0.081,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.053,0.028,1,1,0.146,0.161
"Alejandro Gomez",0.054,0.209,0.192,2.972,1.022,1.453,0.764,0.702,0.068,1,2,3,48,12,7,7,3,2,6.507,0.929,82,3,0.12,1.889,0.57,0.335,2.745,0.145,0.821,0,0.048,1,11,7,1,31,2,2,0,1,4.842,1.83,45,11,14.871,13.344
"Alejandro Mula",0,0.11,0.079,0.552,0,0.386,0,0.354,0,0,1,3,7,0,1,0,1,0,1.37,0.11,12,1,0,0,0.529,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.086,0.443,1,1,2.962,1.058
"Aleksandar Katai",0,0,0,0,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
"Aleksandar Kolarov",0.031,0,0.121,0.63,0.066,0.035,0.105,0,0,2,0,6,20,2,3,2,0,0,0.989,0,35,0,0.117,0.092,1.795,0.733,3.381,0.018,0,0,0,3,2,10,2,25,1,0,0,0,5.81,0.326,38,5,1.978,12.273
"Aleksandar Mitrovic",0.037,0,0,0.285,0.819,0,0.084,0,0,1,0,0,1,1,0,1,0,0,1.188,0.037,3,1,0,0,0,0,0.273,0,0,0,0,0,0,0,0,3,0,0,0,0,0.273,0,3,0,2.451,0.547
"Aleksandar Tonev",0,0,0,0.128,0.102,0.019,0,0.334,0,0,0,0,6,2,1,0,1,0,0.582,0,10,0,0,0,0.044,0,0.019,0.119,0,0,0,0,0,1,0,1,1,0,0,0,0.139,0.044,2,1,1.164,0.366
"Alen Halilovic",0.114,0,0.025,0.706,0.281,0.059,0.009,0,0.022,2,0,1,19,6,1,1,0,1,1.217,0,31,0,0.018,0,0.044,0,1.169,0,0,0,0,1,0,1,0,12,0,0,0,0,0.736,0.494,11,3,2.434,2.46
"Alessandro Bastoni",0,0.02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.02,0,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,2,0,0,0,0,0.111,0,2,0,0.041,0.223
"Alessandro Deiola",0.031,0.05,0,0.061,0,0.011,0,0,0.02,3,1,0,3,0,1,0,0,1,0.174,0,9,0,0,0,0.112,0,0.048,0,0,0,0,0,0,1,0,1,0,0,0,0,0.16,0,2,0,0.348,0.319
"Alessandro Florenzi",0.012,0.063,0.184,0.95,0,0.542,0.471,0.751,0,1,2,3,17,0,2,5,2,0,2.974,0,32,0,0.637,0.264,2.106,0,1.409,0.091,0,0,0,8,4,9,0,12,1,0,0,0,3.121,1.387,24,10,5.948,9.015
"Alessandro Matri",0,0.395,0.62,1.744,0.106,0.594,0.066,0.236,0,0,6,2,8,1,3,1,2,0,3.735,0.027,22,1,0,0.296,0,0.014,0.552,0,0,0.125,0,0,1,0,1,7,0,0,2,0,0.987,0,11,0,7.525,1.974
"Alessandro Murgia",0,0.077,0,0.275,0.051,0,0.112,0.322,0,0,1,0,6,1,0,1,1,0,0.76,0.077,9,1,0,0,0,0,0.295,0,0,0.041,0,0,0,0,0,7,0,0,1,0,0.336,0,8,0,1.673,0.673
"Alessandro Schöpf",0,0,0,0.22,0.137,0,0.022,0,0,0,0,0,5,1,0,1,0,0,0.38,0,7,0,0,0,0,0,0.473,0,0,0,0,0,0,0,0,6,0,0,0,0,0.473,0,6,0,0.76,0.947
"Alessio Cerci",0.013,0.368,0.099,0.527,0.217,0.41,0.072,0,0,1,7,4,13,5,2,3,0,0,1.567,0.138,32,3,0,0.043,0.082,0.416,1.705,0,0,0,0.668,0,2,1,1,12,0,0,0,1,2.797,0.117,15,2,3.412,5.828
"Alessio Romagnoli",0,0.036,0.013,0.035,0.136,0,0,0,0,0,1,1,2,1,0,0,0,0,0.183,0.036,4,1,0,0.01,0,0,0.109,0,0,0,0,0,1,0,0,4,0,0,0,0,0.12,0,5,0,0.438,0.239
"Álex Alegría",0.054,0.039,0.083,0.496,0,0.033,0,0.1,0,2,1,2,3,0,2,0,1,0,0.739,0.066,9,2,0.083,0,0,0.03,0.056,0,0,0,0,1,0,0,1,1,0,0,0,0,0.169,0,3,0,1.61,0.338
"Alex Berenguer",0,0,0.066,0.269,0.129,0.058,0.06,0,0,0,0,1,8,1,2,2,0,0,0.548,0.034,13,1,0,0.283,0,0.012,0.892,0,0.302,0,0,0,2,0,1,11,0,1,0,0,1.215,0.274,14,1,1.164,2.978
"Alex Ferrari",0,0,0.523,0.337,0.032,0,0.011,0,0,0,0,1,2,2,0,1,0,0,0.904,0,6,0,0.017,0.038,0,0,0.053,0.047,0,0,0,1,1,0,0,1,1,0,0,0,0.138,0.017,3,1,1.807,0.31
"Álex Granell",0.009,0.014,0.044,0.227,0.209,0.091,0,0.384,0.018,1,1,4,13,4,4,0,1,1,0.995,0,29,0,0,0.119,1.454,0.011,0.482,0.023,0.459,0.077,0,0,3,5,1,14,1,2,1,0,2.155,0.472,24,3,1.99,5.253
"Alex Iwobi",0,0,0.296,1.959,0.31,0.064,0.477,0.708,0.167,0,0,6,25,4,2,2,2,2,3.945,0.035,42,1,0,0.055,0.307,0,1.551,0.207,1.255,0,0,0,1,1,0,25,2,4,0,0,3.067,0.307,32,1,7.961,6.748
"Alex Oxlade-Chamberlain",0.147,0.119,0.137,0.951,0.382,0.763,0.015,0,0,4,1,3,22,7,5,1,0,0,2.395,0.119,42,1,0,0.044,0.213,0,2.298,0.888,0.715,0.055,0,0,1,4,0,20,2,2,1,0,3.341,0.872,25,5,5.029,8.427
"Alex Pritchard",0,0,0.083,0.856,0.031,0.065,0,0,0,0,0,2,11,1,1,0,0,0,1.035,0,15,0,0,0.065,0,0,1.171,0,0.343,0,0,0,1,0,0,12,0,1,0,0,1.58,0,14,0,2.071,3.16
"Alex Sandro",0.089,0.65,0.034,0.464,0,0,0,0,0,1,1,1,9,0,0,0,0,0,1.236,0,12,0,0.156,0.175,1.279,0,0.905,0.049,0.302,0,0,3,5,4,0,12,1,1,0,0,2.148,0.718,22,4,2.473,5.732
"Alexander Djiku",0,0,0.01,0.038,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.048,0,2,0,0,0,0,0.015,0.016,0,0,0,0,0,0,0,1,1,0,0,0,0,0.031,0,2,0,0.095,0.062
"Alexander Esswein",0.011,0.18,0,0.235,0.082,0,0,0,0,1,2,0,4,1,0,0,0,0,0.328,0.18,6,2,0.1,0,0,0,0.15,0,0,0,0,3,0,0,0,2,0,0,0,0,0.163,0.087,3,2,1.016,0.5
"Alexander Hack",0,0,0,0.035,0.023,0.008,0,0,0,0,0,0,3,1,1,0,0,0,0.066,0,5,0,0,0.021,0,0,0.086,0.026,0,0,0,0,1,0,0,2,1,0,0,0,0.133,0,4,0,0.132,0.266
"Alexander Isak",0.079,0,0,0.069,0,0,0.086,0.443,0,1,0,0,1,0,0,1,1,0,0.597,0.079,3,1,0,0,0,0,0.085,0,0,0,0.072,0,0,0,0,1,0,0,0,1,0.157,0,2,0,1.351,0.314
"Alexander Kacaniklic",0.014,0.127,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.014,0.127,1,1,0,0,0,0,0.136,0,0.1,0,0,0,0,0,0,2,0,1,0,0,0.235,0,3,0,0.282,0.471
"Alexander Meier",0,0.31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0
"Alexander Schwolow",0,0,0.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07,0,1,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,1,0,0,0,0,0.017,0,1,0,0.14,0.033
"Alexander Søderlund",0,0.277,0.049,0,0.145,0,0,0,0.053,0,1,1,0,1,0,0,0,1,0.247,0.277,3,1,0.026,0,0,0,0.034,0,0,0.109,0,2,0,0,0,1,0,0,2,0,0.17,0,5,0,1.046,0.339
"Alexander Sørloth",0.04,0,0,0.422,0.114,0,0.016,0,0,1,0,0,3,2,0,1,0,0,0.537,0.056,5,2,0,0.115,0,0,0.079,0,0,0,0,0,2,0,0,2,0,0,0,0,0.156,0.039,3,1,1.186,0.39
"Alexander Szymanowski",0.084,0.038,0.072,0.518,0.084,0,0.142,0,0,1,1,1,4,1,0,4,0,0,0.908,0.03,11,1,0.102,0,0.296,0,1.089,0,0,0,0,2,0,3,0,10,0,0,0,0,1.307,0.18,13,2,1.875,2.974
"Alexandre Lacazette",0.12,0.059,0.658,5.388,1.271,1.255,0.881,1.34,0,2,1,4,33,7,4,6,5,0,10.854,0.118,60,2,0.078,0.193,0.796,0.968,1.855,0.215,0.444,0.16,0,2,4,3,1,18,3,1,2,0,4.231,0.479,32,2,21.944,9.419
"Alexandre Mendy",0.429,0.482,0.693,1.562,0.054,0.471,0.14,0.23,0,1,4,2,11,1,2,3,2,0,3.425,0.637,23,3,0,0,0,0,0.624,0,0.109,0.022,0,0,0,0,0,5,0,1,1,0,0.755,0,7,0,8.123,1.509
"Alexandru Maxim",0,0.267,0.037,1.053,0.116,0.018,0,0,0,0,1,1,19,4,1,0,0,0,1.223,0.267,25,1,0,0,0.093,0,0.315,0,0,0.064,0,0,0,1,0,5,0,0,1,0,0.473,0,7,0,2.98,0.945
"Alexis",0.052,0.06,0.046,0,0,0.085,0,0,0.011,1,1,1,0,0,1,0,0,1,0.202,0.052,4,1,0.061,0,0,0,0,0.086,0,0,0,1,0,0,0,0,1,0,0,0,0.146,0,2,0,0.508,0.292
"Alexis Blin",0,0.113,0.033,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.033,0.113,1,1,0,0,1.074,0,0.123,0,0,0,0,0,0,2,0,2,0,0,0,0,1.197,0,4,0,0.292,2.394
"Alexis Sánchez",0.537,1.427,0.796,2.616,0.787,0.862,0.671,0.387,0.119,3,6,9,31,8,4,4,1,1,6.385,1.817,61,6,0.116,0.494,0.839,0.152,2.897,0.909,1.425,0.053,0,2,6,4,1,39,8,5,1,0,5.778,1.108,59,7,16.405,13.771
